subject_id,condition,response_time,neural_activity
1,control,450.2,0.20
2,control,432.1,0.22
3,control,467.8,0.24
4,control,445.6,0.25
5,control,458.3,0.26
6,control,420.5,0.27
7,control,415.4,0.28
8,control,423.7,0.29
9,control,418.9,0.30
10,control,425.3,0.32
11,control,421.8,0.34
12,control,419.2,0.36
13,control,422.6,0.38
14,control,424.1,0.40
15,control,420.0,0.42
16,stimulus,450.2,0.233
17,stimulus,432.1,0.253
18,stimulus,467.8,0.273
19,stimulus,445.6,0.283
20,stimulus,458.3,0.293
21,stimulus,420.5,0.303
22,stimulus,415.4,0.313
23,stimulus,423.7,0.323
24,stimulus,418.9,0.333
25,stimulus,425.3,0.353
26,stimulus,421.8,0.373
27,stimulus,419.2,0.393
28,stimulus,422.6,0.413
29,stimulus,424.1,0.433
30,stimulus,420.0,0.453
1,control,450.2,0.20
2,control,432.1,0.22
3,control,467.8,0.24
4,control,445.6,0.25
5,control,458.3,0.26
6,control,420.5,0.27
7,control,415.4,0.28
8,control,423.7,0.29
9,control,418.9,0.30
10,control,425.3,0.32
11,control,421.8,0.34
12,control,419.2,0.36
13,control,422.6,0.38
14,control,424.1,0.40
15,control,420.0,0.42
16,stimulus,450.2,0.233
17,stimulus,432.1,0.253
18,stimulus,467.8,0.273
19,stimulus,445.6,0.283
20,stimulus,458.3,0.293
21,stimulus,420.5,0.303
22,stimulus,415.4,0.313
23,stimulus,423.7,0.323
24,stimulus,418.9,0.333
25,stimulus,425.3,0.353
26,stimulus,421.8,0.373
27,stimulus,419.2,0.393
28,stimulus,422.6,0.413
29,stimulus,424.1,0.433
30,stimulus,420.0,0.453
1,control,450.2,0.20
2,control,432.1,0.22
3,control,467.8,0.24
4,control,445.6,0.25
5,control,458.3,0.26
6,control,420.5,0.27
7,control,415.4,0.28
8,control,423.7,0.29
9,control,418.9,0.30
10,control,425.3,0.32
11,control,421.8,0.34
12,control,419.2,0.36
13,control,422.6,0.38
14,control,424.1,0.40
15,control,420.0,0.42
16,stimulus,450.2,0.233
17,stimulus,432.1,0.253
18,stimulus,467.8,0.273
19,stimulus,445.6,0.283
20,stimulus,458.3,0.293
21,stimulus,420.5,0.303
22,stimulus,415.4,0.313
23,stimulus,423.7,0.323
24,stimulus,418.9,0.333
25,stimulus,425.3,0.353
26,stimulus,421.8,0.373
27,stimulus,419.2,0.393
28,stimulus,422.6,0.413
29,stimulus,424.1,0.433
30,stimulus,420.0,0.453
